Arpt_ICAO	Procedure Type	Procedure Ident
E06	SIAP	R21
E11	SIAP	R16
E16	SIAP	R32
E19	SIAP	R02
E19	SIAP	R20
E30	SIAP	R17
E30	SIAP	R35
E38	SIAP	R19
E38	SIAP	R23
E41	SIAP	R16
E42	SIAP	D02
E42	SIAP	R02
E42	SIAP	R20
E45	SIAP	P27
E45	SIAP	R09
F00	SIAP	D17
F00	SIAP	R17
F00	SIAP	R35
F05	SIAP	R02
F05	SIAP	R20
F10	SIAP	R36
F17	SIAP	R17
F17	SIAP	R35
F22	SIAP	R17
F22	SIAP	R35
F22	SIAP	S17
F34	SIAP	RNV-B
F34	SIAP	VOR-A
F35	SIAP	R02
F35	SIAP	R20
F41	SIAP	VDM-A
F41	SID	GARL6
F41	SID	HUBB9
F41	SID	KING4
F41	SID	KUSSO5
F41	SID	SWABR5
F41	STAR	FINGR5
F41	STAR	GREGS8
F41	STAR	JFRYE3
F41	STAR	SLANT3
F41	STAR	SWVAY4
F44	SIAP	R17
F44	SIAP	R35
F45	SIAP	I09R
F45	SIAP	L09R
F45	SIAP	R09R
F45	SIAP	R14
F45	SIAP	R27L
F45	STAR	FRWAY5
F45	STAR	WLACE4
F46	SIAP	R17
F46	SIAP	R35
F46	SID	GARL6
F46	SID	HUBB9
F46	SID	KING4
F46	SID	KUSSO5
F46	SID	SWABR5
F46	STAR	EESAT3
F46	STAR	FINGR5
F46	STAR	GREGS8
F46	STAR	JFRYE3
F46	STAR	LOADS3
F46	STAR	SLANT3
F46	STAR	SWVAY4
F46	STAR	YEAGR3
F49	SIAP	R18
F49	SIAP	R36
F53	SIAP	R13
F53	SIAP	R31
F56	SIAP	R17
